codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
110001,202312,2023,12,1724,1179011.0,685.47,683.881090487239
110002,202312,2023,12,6718,4569752.0,681.14,680.2250669842215
110003,202312,2023,12,326,217310.0,666.6,666.5950920245399
110004,202312,2023,12,5921,4008414.0,677.21,676.9826042898159
110005,202312,2023,12,1123,800852.0,713.14,713.1362422083704
110006,202312,2023,12,493,334145.0,680.54,677.7789046653144
110007,202312,2023,12,357,233019.0,652.71,652.7142857142857
110008,202312,2023,12,2105,1506744.0,719.55,715.7928741092636
110009,202312,2023,12,1832,1228978.0,671.57,670.839519650655
110010,202312,2023,12,4932,3838589.0,779.41,778.3027169505272
110011,202312,2023,12,3236,2154804.0,667.54,665.885043263288
110012,202312,2023,12,6950,4816309.0,693.89,692.9941007194244
110013,202312,2023,12,2755,1899299.0,689.9,689.4007259528131
110014,202312,2023,12,1673,1092422.0,652.97,652.9719067543335
110015,202312,2023,12,2380,1618965.0,682.53,680.2373949579832
110018,202312,2023,12,1564,1053770.0,675.93,673.7659846547315
110020,202312,2023,12,43944,30363987.0,693.29,690.9700300382304
110025,202312,2023,12,2288,1511362.0,660.56,660.5603146853147
110026,202312,2023,12,227,158599.0,698.67,698.6740088105727
110028,202312,2023,12,2030,1360632.0,671.59,670.2620689655172
110029,202312,2023,12,589,400577.0,680.1,680.0967741935484
110030,202312,2023,12,4550,3159912.0,697.24,694.4861538461538
110032,202312,2023,12,1262,858612.0,680.9,680.3581616481775
110033,202312,2023,12,2687,2006723.0,749.62,746.8265723855601
110034,202312,2023,12,1388,956906.0,691.91,689.4135446685879
110037,202312,2023,12,650,430431.0,662.2,662.2015384615385
110040,202312,2023,12,1272,871625.0,685.24,685.2397798742138
110045,202312,2023,12,2108,1474189.0,702.33,699.3306451612904
110050,202312,2023,12,532,352413.0,662.43,662.4304511278195
110060,202312,2023,12,336,228050.0,680.75,678.7202380952381
110070,202312,2023,12,648,434234.0,673.23,670.1141975308642
110080,202312,2023,12,3576,2478557.0,698.58,693.1087807606264
110090,202312,2023,12,262,182841.0,697.87,697.8664122137404
110092,202312,2023,12,781,563919.0,722.05,722.0473751600512
110094,202312,2023,12,1385,955686.0,690.03,690.0259927797833
110100,202312,2023,12,983,682195.0,693.99,693.9928789420143
110110,202312,2023,12,761,520158.0,684.42,683.5190538764783
110120,202312,2023,12,625,413098.0,663.08,660.9568
110130,202312,2023,12,687,515003.0,750.73,749.6404657933042
110140,202312,2023,12,1392,961380.0,690.65,690.6465517241379
110143,202312,2023,12,651,464074.0,712.86,712.863287250384
110145,202312,2023,12,392,272779.0,695.86,695.8647959183673
110146,202312,2023,12,252,176515.0,700.46,700.4563492063492
110147,202312,2023,12,298,196145.0,658.2,658.2046979865772
110148,202312,2023,12,199,130231.0,654.43,654.427135678392
110149,202312,2023,12,1451,999894.0,692.93,689.1068228807719
110150,202312,2023,12,801,558256.0,698.69,696.9488139825219
110155,202312,2023,12,377,250428.0,664.27,664.2652519893899
110160,202312,2023,12,592,405106.0,684.3,684.3006756756756
110170,202312,2023,12,1033,694580.0,673.04,672.3910939012585
110175,202312,2023,12,1011,706608.0,699.61,698.919881305638
110180,202312,2023,12,555,374956.0,675.6,675.5963963963964
120001,202312,2023,12,2357,1707892.0,724.91,724.6041578277471
120005,202312,2023,12,1755,1443793.0,824.55,822.674074074074
120010,202312,2023,12,4898,3480336.0,711.0,710.5626786443446
120013,202312,2023,12,1999,1481166.0,740.95,740.9534767383692
120017,202312,2023,12,2057,1478437.0,721.19,718.7345649003403
120020,202312,2023,12,14043,10353700.0,738.92,737.285480310475
120025,202312,2023,12,2731,1936438.0,709.06,709.0582204320762
120030,202312,2023,12,5825,4645981.0,799.24,797.59330472103
120032,202312,2023,12,1789,1613616.0,901.97,901.9653437674679
120033,202312,2023,12,4407,3141690.0,713.7,712.8863172226004
120034,202312,2023,12,2353,1815794.0,774.0,771.6931576710582
120035,202312,2023,12,3979,3116757.0,783.5,783.30158331239
120038,202312,2023,12,2509,1760723.0,704.29,701.7628537265844
120039,202312,2023,12,2016,1666307.0,827.36,826.5411706349206
120040,202312,2023,12,44365,30798931.0,694.55,694.2168601374958
120042,202312,2023,12,3214,2360309.0,736.22,734.383634100809
120043,202312,2023,12,1275,1135059.0,890.24,890.2423529411765
120045,202312,2023,12,4004,2797919.0,698.78,698.780969030969
120050,202312,2023,12,9151,6650998.0,727.28,726.805595016938
120060,202312,2023,12,8919,7212207.0,809.18,808.6340396905483
120070,202312,2023,12,2928,2119689.0,723.94,723.9375
120080,202312,2023,12,4351,3063730.0,704.14,704.143874971271
130002,202312,2023,12,3474,2751208.0,794.92,791.9424294761083
130006,202312,2023,12,2213,1765081.0,801.22,797.5964753727972
130008,202312,2023,12,2248,1511855.0,687.83,672.5333629893238
130010,202312,2023,12,3795,2517349.0,672.19,663.333069828722
130014,202312,2023,12,2379,1691448.0,713.09,710.9911727616645
130020,202312,2023,12,2499,2031016.0,814.03,812.7314925970388
130030,202312,2023,12,15336,10508609.0,688.28,685.2248956703182
130040,202312,2023,12,3241,2481680.0,768.8,765.7142857142857
130050,202312,2023,12,6456,5143916.0,799.74,796.7651796778191
130060,202312,2023,12,6746,5514795.0,820.04,817.4911058404981
130063,202312,2023,12,5856,4391571.0,758.08,749.9267418032787
130068,202312,2023,12,3418,2563622.0,750.69,750.0356933879461
130070,202312,2023,12,5841,4205022.0,720.66,719.9147406266051
130080,202312,2023,12,6996,5180004.0,744.04,740.4236706689537
130083,202312,2023,12,2727,1936155.0,716.56,709.994499449945
130090,202312,2023,12,3460,2293659.0,672.43,662.907225433526
130100,202312,2023,12,6586,4960100.0,753.36,753.1278469480717
130110,202312,2023,12,6133,4258409.0,702.24,694.3435512799608
130115,202312,2023,12,4307,2828332.0,673.57,656.6826097051312
130120,202312,2023,12,14810,11091365.0,752.06,748.9105334233626
130130,202312,2023,12,4354,3152982.0,728.17,724.1575562700965
130140,202312,2023,12,6742,5278650.0,784.0,782.9501631563335
130150,202312,2023,12,4023,2896864.0,720.43,720.0755654983843
130160,202312,2023,12,5766,4103523.0,724.11,711.6758584807492
130165,202312,2023,12,3499,2509396.0,730.75,717.1751929122606
130170,202312,2023,12,9980,7218324.0,724.66,723.2789579158317
130180,202312,2023,12,4762,3436834.0,725.99,721.7207055858883
130185,202312,2023,12,14292,10080523.0,707.01,705.3262664427651
130190,202312,2023,12,17237,12832227.0,745.93,744.458258397633
130195,202312,2023,12,2221,1839808.0,832.49,828.369203061684
130200,202312,2023,12,2208,1539584.0,698.22,697.2753623188406
130210,202312,2023,12,1531,1193827.0,781.3,779.7694317439582
130220,202312,2023,12,2437,1774818.0,731.28,728.2798522773902
130230,202312,2023,12,4915,3943531.0,826.91,802.3460834181078
130240,202312,2023,12,12869,8976447.0,698.72,697.5248271038931
130250,202312,2023,12,20353,14335228.0,711.81,704.3299759249251
130255,202312,2023,12,3942,2741879.0,698.39,695.5553018772197
130260,202312,2023,12,275799,193596379.0,702.76,701.9473565894002
130270,202312,2023,12,8395,6346923.0,756.67,756.0360929124479
130280,202312,2023,12,3697,2861030.0,780.42,773.8788206654044
130290,202312,2023,12,14230,10912793.0,768.13,766.8863668306395
130300,202312,2023,12,4619,3327193.0,721.26,720.327560077939
130310,202312,2023,12,6436,4788912.0,744.78,744.0820385332505
130320,202312,2023,12,2697,1966133.0,735.28,729.0074156470153
130330,202312,2023,12,3791,2825532.0,746.71,745.3262991295172
130340,202312,2023,12,21097,15707557.0,745.71,744.5398397876476
130350,202312,2023,12,3634,2905224.0,799.46,799.4562465602642
130353,202312,2023,12,5136,3764841.0,733.74,733.0297897196261
130356,202312,2023,12,4173,3023306.0,728.86,724.4922118380063
130360,202312,2023,12,2463,1983697.0,805.73,805.398700771417
130370,202312,2023,12,4411,3657694.0,838.54,829.2210383133076
130380,202312,2023,12,8358,7136188.0,854.63,853.8152668102417
130390,202312,2023,12,7148,5602920.0,800.76,783.8444320089535
130395,202312,2023,12,2191,1599000.0,731.14,729.8037425832953
130400,202312,2023,12,2375,1757902.0,741.11,740.1692631578948
130406,202312,2023,12,10279,8296003.0,808.58,807.0826928689561
130410,202312,2023,12,3909,2574388.0,679.62,658.5796878997186
130420,202312,2023,12,12150,9593385.0,793.17,789.579012345679
130423,202312,2023,12,4038,3161816.0,785.35,783.0153541357107
130426,202312,2023,12,3015,2422339.0,804.76,803.4291873963516
