codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
110001,2025,1631,13314241.0,686.42,680.24
110002,2025,7368,59698978.0,680.71,675.18
110003,2025,306,2489568.0,681.84,679.02
110004,2025,5809,45995437.0,663.28,660.07
110005,2025,1176,9726331.0,693.72,689.09
110006,2025,477,3728739.0,660.52,651.79
110007,2025,274,2177865.0,665.23,661.98
110008,2025,1963,16472711.0,702.94,699.29
110009,2025,1484,11297777.0,639.15,634.81
110010,2025,5064,45940333.0,760.65,756.02
110011,2025,3401,26136023.0,644.0,640.34
110012,2025,7375,59337780.0,674.8,670.57
110013,2025,2653,21053423.0,666.38,661.31
110014,2025,1445,10845162.0,628.11,625.65
110015,2025,2374,18704151.0,661.24,656.41
110018,2025,1330,10567820.0,668.09,662.34
110020,2025,49562,404312821.0,684.0,679.84
110025,2025,1982,15369259.0,651.36,646.61
110026,2025,208,1681981.0,678.4,674.93
110028,2025,2040,15796082.0,653.13,645.37
110029,2025,570,4510749.0,661.99,659.42
110030,2025,4820,38482628.0,671.93,665.33
110032,2025,1114,8752803.0,658.64,655.19
110033,2025,2684,23236546.0,726.72,721.57
110034,2025,1341,10699480.0,670.73,664.88
110037,2025,368,2741445.0,624.79,620.26
110040,2025,1186,9658163.0,683.1,678.59
110045,2025,1970,15990117.0,681.96,676.51
110050,2025,476,3733044.0,657.94,653.62
110060,2025,291,2297414.0,661.4,657.22
110070,2025,545,4250677.0,655.35,650.27
110080,2025,3648,29647106.0,688.44,676.98
110090,2025,235,1917770.0,688.52,680.95
110092,2025,879,7422136.0,706.65,703.89
110094,2025,1248,10338551.0,692.77,690.17
110100,2025,899,6841739.0,637.23,633.89
110110,2025,750,6292411.0,702.18,698.79
110120,2025,634,5169135.0,682.49,679.97
110130,2025,759,6044278.0,667.32,663.28
110140,2025,1381,11235919.0,682.99,678.22
110143,2025,713,5774292.0,680.06,674.3
110145,2025,373,2965309.0,665.12,662.26
110146,2025,264,2226879.0,705.97,703.24
110147,2025,280,2208030.0,663.51,658.28
110148,2025,197,1520524.0,646.15,643.75
110149,2025,1374,11056040.0,675.39,670.54
110150,2025,868,6971718.0,675.57,669.55
110155,2025,362,2824133.0,654.56,651.19
110160,2025,514,4135141.0,675.42,671.18
110170,2025,976,7815597.0,671.76,667.13
110175,2025,1053,8472468.0,674.08,670.56
110180,2025,477,3803347.0,669.91,664.03
120001,2025,2216,18349771.0,692.67,690.0
120005,2025,1804,17593365.0,813.99,812.97
120010,2025,4630,39445160.0,711.6,710.2
120013,2025,1939,16641691.0,716.18,715.3
120017,2025,1908,16228548.0,710.96,709.08
120020,2025,14608,127773634.0,730.69,729.1
120025,2025,2523,21233078.0,703.07,701.29
120030,2025,5805,54379240.0,783.46,780.72
120032,2025,1774,18728952.0,881.97,880.07
120033,2025,4478,39348805.0,733.96,732.27
120034,2025,2578,23335042.0,757.47,754.53
120035,2025,3731,35216635.0,788.34,786.72
120038,2025,2360,19469236.0,689.75,687.37
120039,2025,2113,20564819.0,812.33,811.01
120040,2025,43660,354263618.0,679.64,676.38
120042,2025,3094,27890147.0,751.96,751.24
120043,2025,1217,12901986.0,893.6,883.48
120045,2025,3257,27158826.0,697.09,695.38
120050,2025,9064,78336803.0,721.23,720.33
120060,2025,9173,86785762.0,790.16,788.63
120070,2025,2871,24337359.0,707.41,706.63
120080,2025,3993,33934827.0,709.04,708.4
130002,2025,3398,30927276.0,761.11,758.52
130006,2025,2699,25405971.0,785.28,784.92
130008,2025,2312,21471622.0,774.86,773.85
130010,2025,3771,32045285.0,712.12,708.22
130014,2025,2289,19006186.0,695.85,691.98
130020,2025,2321,22628015.0,818.06,813.0
130030,2025,15877,132207285.0,696.29,693.88
130040,2025,3476,32094574.0,772.55,769.45
130050,2025,6122,58658706.0,804.05,798.55
130060,2025,7350,72639742.0,824.94,823.6
130063,2025,5166,49021283.0,793.44,790.83
130068,2025,3671,32854837.0,747.24,745.72
130070,2025,5898,50631482.0,717.97,715.47
130080,2025,6849,61903711.0,756.12,753.2
130083,2025,2721,24226975.0,744.09,742.05
130090,2025,3481,28265796.0,677.27,676.48
130100,2025,6138,54117083.0,736.64,734.85
130110,2025,5605,47815123.0,713.86,711.11
130115,2025,4228,36517523.0,723.19,719.62
130120,2025,15219,136518585.0,750.18,747.55
130130,2025,4191,37927196.0,759.78,754.19
130140,2025,6690,61739030.0,770.81,769.07
130150,2025,4048,35131313.0,724.13,723.21
130160,2025,6763,59437278.0,733.4,732.27
130165,2025,3239,29471044.0,760.48,758.33
130170,2025,11353,96883418.0,713.54,711.12
130180,2025,4642,41716574.0,750.94,748.81
130185,2025,14836,125332139.0,707.64,703.99
130190,2025,16770,146542182.0,733.54,728.22
130195,2025,2112,21437902.0,847.3,845.77
130200,2025,1912,16094681.0,703.54,701.59
130210,2025,1582,14416086.0,761.95,759.41
130220,2025,2479,22153496.0,745.66,744.69
130230,2025,4698,48663901.0,867.58,863.04
130240,2025,12768,107774431.0,706.18,703.48
130250,2025,20331,177763037.0,731.22,728.72
130255,2025,3916,33965479.0,726.0,722.81
130260,2025,252575,2088250150.0,695.11,689.13
130270,2025,8738,79582107.0,763.15,758.94
130280,2025,3265,32292792.0,827.63,824.28
130290,2025,13853,127804020.0,771.59,768.82
130300,2025,4448,38891992.0,730.25,728.76
130310,2025,6246,55110717.0,738.02,735.24
130320,2025,2502,21868274.0,733.06,728.55
130330,2025,3866,34149797.0,737.76,736.08
130340,2025,21315,188088509.0,738.04,735.4
130350,2025,3521,33376139.0,791.42,789.88
130353,2025,5113,43713081.0,716.55,712.46
130356,2025,3632,31078086.0,721.84,713.48
130360,2025,2645,25329099.0,801.41,798.1
130370,2025,4154,43746902.0,879.69,877.54
130380,2025,8823,89646904.0,851.26,846.75
130390,2025,7678,75857292.0,825.86,823.39
130395,2025,2272,19743671.0,726.46,724.37
130400,2025,2416,21567422.0,745.68,744.0
130406,2025,10554,100461907.0,796.35,793.14
130410,2025,4196,38278322.0,762.71,760.3
130420,2025,14215,132621834.0,781.15,777.49
130423,2025,3982,37848242.0,793.87,792.21
130426,2025,2950,28189346.0,799.51,797.21
130430,2025,3794,31733704.0,698.98,697.07
130440,2025,4772,42047479.0,736.87,734.26
140002,2025,1991,18494146.0,779.99,774.14
140005,2025,2697,24113847.0,750.59,745.13
140010,2025,37482,319075367.0,715.56,709.41
140015,2025,3972,37019322.0,780.05,779.77
140017,2025,4335,38337873.0,738.88,737.27
140020,2025,3703,32021397.0,729.34,720.69
140023,2025,2159,18728270.0,723.59,722.95
140028,2025,1329,11344603.0,714.13,710.84
140030,2025,4610,38704462.0,704.42,699.79
140040,2025,3004,31442785.0,872.99,872.54
140045,2025,3992,38807272.0,814.39,810.59
140047,2025,4183,35266972.0,704.35,703.08
140050,2025,1414,12219256.0,720.58,720.49
140060,2025,1540,12866362.0,696.79,696.05
140070,2025,2242,27482500.0,1027.32,1021.48
150010,2025,39067,318276407.0,679.18,678.99
150013,2025,1426,11836784.0,692.22,691.95
150020,2025,13835,118111772.0,712.13,711.62
150030,2025,8619,83284109.0,807.14,805.49
150034,2025,2659,21882179.0,686.58,686.17
