codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
110001,2023,1733,11920674.0,688.33,688.02
110002,2023,6237,43094136.0,692.09,691.33
110003,2023,314,2113908.0,675.79,672.93
110004,2023,5765,39804686.0,691.02,690.64
110005,2023,1052,7545512.0,717.45,717.31
110006,2023,458,3177350.0,694.28,693.72
110007,2023,379,2578639.0,680.18,680.18
110008,2023,2050,14577875.0,715.72,710.68
110009,2023,1907,13142096.0,689.1,688.92
110010,2023,4698,35930766.0,768.19,764.03
110011,2023,3078,20968457.0,682.54,681.79
110012,2023,6249,43886901.0,703.33,702.49
110013,2023,2646,18498900.0,701.7,699.02
110014,2023,1747,11634448.0,665.97,665.7
110015,2023,2312,15872964.0,687.59,686.52
110018,2023,1477,10170705.0,689.68,688.94
110020,2023,47022,321284036.0,692.73,683.46
110025,2023,2334,15661816.0,672.18,670.81
110026,2023,222,1557958.0,702.64,702.64
110028,2023,1932,13218265.0,685.67,684.89
110029,2023,590,4052722.0,686.71,686.71
110030,2023,4140,29277333.0,708.87,707.71
110032,2023,1218,8449747.0,694.18,694.07
110033,2023,2545,18794333.0,740.15,737.98
110034,2023,1351,9405103.0,697.41,696.48
110037,2023,700,4773031.0,682.12,681.93
110040,2023,1280,8859056.0,693.32,692.29
110045,2023,2151,15061302.0,701.41,700.24
110050,2023,573,3827876.0,668.04,668.04
110060,2023,336,2329058.0,694.24,693.84
110070,2023,644,4419311.0,686.98,686.13
110080,2023,3381,23447453.0,698.9,693.56
110090,2023,255,1769729.0,693.04,693.04
110092,2023,728,5272153.0,724.12,724.02
110094,2023,1355,9507031.0,702.6,701.79
110100,2023,974,6764650.0,694.6,694.37
110110,2023,749,5168399.0,709.91,690.16
110120,2023,587,3957183.0,675.44,674.77
110130,2023,642,4485575.0,699.24,699.02
110140,2023,1371,9527276.0,695.04,694.94
110143,2023,629,4430014.0,703.84,703.84
110145,2023,382,2659177.0,696.99,696.99
110146,2023,246,1755957.0,715.98,712.45
110147,2023,292,1968628.0,673.25,673.25
110148,2023,182,1224027.0,671.45,671.45
110149,2023,1440,10036774.0,700.95,696.83
110150,2023,768,5437192.0,710.14,708.85
110155,2023,392,2620037.0,668.7,668.7
110160,2023,587,4045714.0,690.39,689.57
110170,2023,1049,7111853.0,677.96,677.83
110175,2023,1006,7028785.0,699.13,698.58
110180,2023,577,3905056.0,676.69,676.69
120001,2023,2402,17003883.0,710.81,707.92
120005,2023,1753,14009830.0,816.43,799.05
120010,2023,4952,34390074.0,707.43,694.55
120013,2023,1856,13577007.0,734.28,730.98
